teams,value
"[4143, 5847, 4646, 4174, 3928, 111, 3061, 2220]",792
"[5847, 4646, 4143, 3928, 4174, 2220, 3061, 2530]",791
"[4174, 4143, 5847, 4646, 111, 3061, 4663, 3928]",786
"[4143, 4174, 5847, 4646, 3061, 111, 3928, 4663]",786
"[4143, 4646, 4174, 5847, 3928, 111, 3061, 4663]",786
"[5847, 4143, 4646, 111, 3928, 4174, 695, 2220]",785
"[4143, 5847, 4646, 111, 3928, 4174, 695, 3061]",784
"[5847, 4646, 4143, 4174, 3928, 2530, 3061, 695]",784
"[4143, 4174, 5847, 111, 3928, 4646, 2220, 3061]",777
"[4174, 4143, 4646, 5847, 4663, 3928, 3061, 695]",774
"[4143, 5847, 4646, 111, 3928, 4174, 3061, 695]",769
"[5847, 4143, 4174, 4646, 111, 3061, 695, 3928]",766
"[4646, 5847, 4143, 4174, 695, 111, 3061, 3928]",765
"[5847, 4646, 4143, 3928, 4174, 2220, 111, 3061]",762
"[4143, 4646, 5847, 4174, 111, 3061, 3928, 695]",760
"[4143, 4646, 5847, 4174, 3928, 111, 4663, 3061]",759
"[5847, 4143, 4646, 111, 4174, 3928, 2220, 3061]",757
"[4143, 4174, 5847, 4646, 4663, 695, 111, 3928]",754
"[4646, 5847, 4143, 3928, 4174, 2530, 3061, 111]",753
"[4143, 5847, 4646, 4174, 3928, 2220, 3061, 2530]",751
"[4646, 5847, 4143, 3928, 4174, 695, 3061, 111]",749
"[4143, 5847, 4174, 4646, 111, 2220, 3928, 3061]",745
"[4174, 4143, 5847, 111, 4646, 2220, 3061, 3928]",743
"[5847, 4143, 4646, 111, 3928, 2530, 4174, 3061]",741
"[5847, 4143, 4646, 111, 4174, 3928, 695, 3061]",740
"[5847, 4646, 4143, 4174, 3928, 111, 3061, 2530]",739
"[5847, 4143, 4646, 3928, 4174, 111, 2220, 3061]",737
"[4646, 5847, 4143, 3928, 4174, 695, 111, 2530]",730
"[4143, 4646, 4174, 5847, 3928, 4663, 695, 111]",728
"[4143, 4174, 5847, 4646, 3928, 111, 4663, 3061]",728
"[4646, 5847, 4143, 4174, 2220, 3928, 3061, 695]",728
"[4174, 4143, 5847, 111, 4646, 4663, 695, 3928]",728
"[4143, 4646, 4174, 5847, 3928, 3061, 2530, 4663]",727
"[4174, 4143, 5847, 111, 4663, 4646, 695, 3061]",727
"[4646, 5847, 4143, 4174, 3928, 111, 2530, 3061]",727
"[5847, 4143, 4646, 4174, 3928, 111, 3061, 2530]",726
"[5847, 4646, 4143, 4174, 695, 111, 3061, 3928]",725
"[5847, 4646, 4143, 4174, 3928, 3061, 695, 2220]",724
"[4143, 4174, 4646, 5847, 4663, 3928, 695, 3061]",722
"[5847, 4646, 4143, 4174, 3928, 3061, 2530, 695]",720
"[4174, 4143, 5847, 111, 4646, 3061, 3928, 695]",715
"[5847, 4646, 4143, 3928, 4174, 111, 695, 2530]",715
"[5847, 4143, 4646, 3928, 4174, 111, 695, 3061]",714
"[4143, 4174, 5847, 4646, 4663, 3928, 695, 111]",713
"[4143, 4174, 4646, 5847, 3928, 3061, 4663, 2530]",713
"[4174, 4143, 5847, 4646, 3061, 3928, 4663, 695]",710
"[5847, 4646, 4143, 3928, 4174, 695, 2530, 3061]",710
"[4143, 5847, 4646, 4174, 3928, 3061, 4663, 695]",706
"[4143, 5847, 4174, 4646, 3928, 4663, 695, 111]",705
"[4143, 4174, 5847, 111, 3928, 4646, 4663, 2530]",704
"[4646, 5847, 4143, 3928, 4174, 2220, 111, 3061]",703
"[5847, 4143, 4646, 4174, 3928, 111, 2530, 3061]",701
"[4646, 5847, 4143, 4174, 3061, 3928, 111, 695]",700
"[4143, 4646, 5847, 3928, 4174, 3061, 2530, 695]",699
"[5847, 4646, 4143, 4174, 3061, 111, 695, 3928]",693
"[4143, 4174, 5847, 4646, 4663, 695, 3061, 3928]",692
"[4143, 4646, 5847, 4174, 3928, 3061, 111, 2530]",691
"[4174, 4143, 4646, 5847, 4663, 695, 3928, 3061]",691
"[4143, 4646, 5847, 4174, 3928, 111, 2220, 3061]",690
"[5847, 4143, 4646, 111, 3928, 4174, 2530, 695]",688
"[4143, 5847, 4646, 4174, 3928, 2530, 3061, 695]",687
"[4143, 4646, 5847, 4174, 3928, 3061, 4663, 2530]",686
"[4646, 5847, 4143, 4174, 3928, 695, 111, 3061]",685
"[4143, 5847, 4646, 4174, 111, 2220, 3928, 3061]",683
"[5847, 4646, 4143, 4174, 695, 111, 3928, 3061]",681
"[4143, 5847, 4174, 4646, 3928, 2530, 3061, 4663]",680
"[4143, 4174, 4646, 5847, 111, 3061, 3928, 4663]",680
"[4646, 5847, 4143, 3061, 3928, 4174, 111, 695]",678
"[4143, 4174, 4646, 5847, 3928, 4663, 3061, 2530]",674
"[4143, 5847, 4646, 4174, 3061, 111, 3928, 695]",673
"[4143, 5847, 4646, 4174, 3928, 2530, 4663, 3061]",673
"[4143, 5847, 4646, 4174, 3928, 2530, 3061, 111]",671
"[5847, 4143, 4174, 4646, 111, 695, 3061, 3928]",666
"[4143, 5847, 4646, 111, 4174, 3928, 3061, 2530]",665
"[4646, 4143, 5847, 3928, 4174, 2530, 3061, 695]",663
"[5847, 4143, 4646, 111, 3928, 4174, 2220, 695]",660
"[4174, 4143, 5847, 4646, 4663, 3928, 3061, 695]",659
"[5847, 4646, 4143, 4174, 3928, 111, 3061, 695]",656
"[5847, 4143, 4646, 111, 3928, 695, 4174, 3061]",656
"[5847, 4646, 4143, 3928, 2530, 4174, 111, 3061]",654
"[4143, 5847, 4174, 111, 4663, 3928, 4646, 695]",653
"[5847, 4143, 4646, 4174, 3928, 111, 3061, 695]",652
"[4143, 5847, 4174, 111, 4646, 3928, 2220, 3061]",651
"[5847, 4646, 4143, 3928, 4174, 111, 3061, 2220]",649
"[4143, 4174, 5847, 111, 3928, 4646, 2220, 4663]",648
"[4143, 4174, 5847, 111, 3928, 4646, 2530, 4663]",647
"[4143, 5847, 4646, 4174, 3928, 3061, 111, 4663]",646
"[4646, 5847, 4143, 3928, 4174, 3061, 2530, 111]",645
"[4143, 4174, 5847, 111, 4646, 4663, 695, 3061]",645
"[4174, 4143, 5847, 111, 4646, 3061, 2220, 3928]",642
"[4143, 5847, 4646, 3928, 4174, 111, 3061, 695]",641
"[4143, 5847, 4646, 3928, 4174, 2530, 3061, 695]",641
"[5847, 4143, 4646, 3928, 4174, 2530, 3061, 111]",639
"[5847, 4646, 4143, 4174, 2220, 3928, 3061, 695]",636
"[4143, 5847, 4646, 4174, 3928, 3061, 2530, 695]",634
"[5847, 4646, 4143, 4174, 3928, 2530, 111, 3061]",634
"[4174, 4143, 4646, 5847, 3061, 111, 3928, 4663]",633
"[5847, 4143, 4646, 3928, 4174, 2220, 3061, 111]",629
"[4143, 4174, 5847, 4646, 3928, 3061, 4663, 695]",628
"[4646, 5847, 4143, 3928, 4174, 3061, 695, 2530]",627
"[4143, 4174, 4646, 5847, 3928, 111, 4663, 2530]",625
"[4143, 4174, 4646, 5847, 3928, 4663, 2530, 3061]",625
"[4143, 5847, 4174, 4646, 3928, 2530, 111, 3061]",624
"[5847, 4143, 4646, 4174, 2220, 111, 3928, 3061]",624
"[4646, 5847, 4174, 4143, 695, 111, 3061, 3928]",623
"[4646, 5847, 4143, 4174, 695, 111, 3928, 3061]",621
"[4174, 4143, 4646, 5847, 3061, 4663, 3928, 695]",621
"[4646, 5847, 4174, 4143, 695, 111, 3928, 3061]",619
"[4143, 5847, 4646, 111, 4174, 3928, 2530, 3061]",618
"[4143, 4646, 5847, 3928, 4174, 111, 2530, 3061]",617
"[4143, 5847, 4174, 111, 4646, 3928, 4663, 3061]",617
"[4143, 4174, 4646, 5847, 3928, 2530, 3061, 4663]",615
"[4143, 5847, 4174, 111, 3928, 4646, 2220, 4663]",615
"[5847, 4646, 4143, 3928, 4174, 3061, 2530, 111]",613
"[4143, 5847, 4646, 4174, 4663, 3928, 695, 3061]",612
"[4174, 4143, 5847, 4646, 4663, 695, 3061, 111]",612
"[4143, 5847, 4174, 4646, 3928, 111, 2530, 3061]",612
"[4646, 4143, 5847, 3928, 4174, 695, 111, 3061]",607
"[4174, 4143, 4646, 5847, 3928, 3061, 4663, 695]",607
"[5847, 4143, 4646, 3928, 4174, 111, 695, 2530]",607
"[4143, 5847, 4174, 4646, 3928, 111, 4663, 3061]",604
"[4646, 5847, 4143, 4174, 2220, 111, 3928, 3061]",604
"[4646, 5847, 4143, 4174, 3928, 3061, 111, 695]",603
"[4174, 4143, 5847, 111, 4646, 2220, 4663, 3928]",601
"[4143, 5847, 4646, 4174, 3928, 111, 695, 2530]",601
"[4646, 5847, 4143, 3928, 4174, 695, 111, 2220]",601
"[4646, 5847, 4143, 3928, 695, 4174, 111, 3061]",600
"[4143, 4646, 4174, 5847, 3928, 2530, 3061, 4663]",599
"[4143, 4174, 5847, 4646, 4663, 3928, 695, 3061]",597
"[4143, 5847, 4174, 4646, 3928, 3061, 2530, 4663]",596
"[4143, 5847, 4646, 4174, 3928, 111, 695, 3061]",596
"[5847, 4143, 4646, 4174, 111, 2220, 3061, 695]",595
"[4143, 5847, 4646, 111, 3928, 4174, 3061, 2220]",593
"[4646, 5847, 4143, 3928, 2530, 4174, 111, 3061]",593
"[5847, 4143, 4646, 111, 3928, 4174, 2530, 2220]",593
"[4646, 5847, 4143, 4174, 2220, 3061, 3928, 695]",590
"[5847, 4143, 4646, 3928, 4174, 3061, 2220, 111]",590
"[5847, 4646, 4143, 4174, 3928, 111, 2530, 3061]",587
"[4143, 4174, 5847, 4646, 3928, 3061, 4663, 2530]",587
"[4143, 4646, 4174, 5847, 3928, 4663, 695, 3061]",587
"[4143, 5847, 4174, 4646, 3928, 3061, 111, 2530]",586
"[5847, 4143, 4646, 4174, 3061, 3928, 111, 695]",585
"[4143, 5847, 4174, 111, 3928, 4646, 2220, 2530]",585
"[4143, 5847, 4646, 111, 3928, 4174, 2220, 2530]",583
"[4143, 5847, 4646, 4174, 3928, 4663, 695, 2220]",583
"[4143, 5847, 4646, 4174, 3928, 4663, 3061, 2530]",582
"[4143, 4174, 5847, 4646, 3928, 4663, 3061, 2530]",581
"[4143, 4646, 5847, 4174, 3928, 2220, 111, 3061]",580
