team,averageRank,averageRp,ranks,rps
1997,33.6093,13.6096,"{23: 0.0003, 24: 0.001, 25: 0.0035, 26: 0.0049, 27: 0.0021, 28: 0.0026, 29: 0.0089, 30: 0.0407, 31: 0.1372, 32: 0.2513, 33: 0.2291, 34: 0.0936, 35: 0.0582, 36: 0.036, 37: 0.0404, 38: 0.0202, 39: 0.0046, 40: 0.0026, 41: 0.0057, 42: 0.0045, 43: 0.0046, 44: 0.0077, 45: 0.0115, 46: 0.0097, 47: 0.0069, 48: 0.0078, 49: 0.0033, 50: 0.0009, 51: 0.0002}","{18: 0.0004, 17: 0.0111, 16: 0.0005, 15: 0.0306, 14: 0.6945, 13: 0.1955, 12: 0.0036, 11: 0.0118, 10: 0.0412, 9: 0.0108}"
4260,34.9545,12.6308,"{25: 0.0001, 27: 0.0006, 28: 0.0004, 29: 0.0004, 30: 0.0022, 31: 0.0148, 32: 0.0905, 33: 0.2218, 34: 0.2711, 35: 0.1921, 36: 0.0698, 37: 0.0096, 38: 0.0004, 39: 0.0002, 40: 0.0064, 41: 0.0224, 42: 0.0408, 43: 0.0335, 44: 0.019, 45: 0.0031, 46: 0.0007, 47: 0.0001}","{16: 0.0014, 14: 0.0052, 13: 0.8672, 10: 0.1262}"
9570,35.8404,13.0262,"{18: 0.0004, 19: 0.0012, 20: 0.0047, 21: 0.0059, 22: 0.0068, 23: 0.011, 24: 0.0075, 25: 0.0057, 26: 0.0154, 27: 0.0293, 28: 0.0574, 29: 0.0676, 30: 0.0836, 31: 0.0512, 32: 0.0229, 33: 0.0118, 34: 0.0064, 35: 0.0149, 36: 0.0181, 37: 0.028, 38: 0.061, 39: 0.106, 40: 0.1086, 41: 0.1202, 42: 0.0829, 43: 0.0279, 44: 0.0041, 45: 0.0013, 46: 0.0027, 47: 0.0148, 48: 0.0152, 49: 0.0049, 50: 0.0005, 51: 0.0001}","{19: 0.0102, 18: 0.0255, 17: 0.0032, 16: 0.0777, 15: 0.2215, 14: 0.0456, 13: 0.0716, 12: 0.2891, 11: 0.2168, 9: 0.0197, 8: 0.0191}"
8822,36.0777,12.8534,"{25: 0.0001, 26: 0.0011, 27: 0.0057, 28: 0.0479, 29: 0.1326, 30: 0.1524, 31: 0.0613, 32: 0.0103, 33: 0.0012, 34: 0.0003, 35: 0.0015, 36: 0.0057, 37: 0.0578, 38: 0.1639, 39: 0.1438, 40: 0.0636, 41: 0.0158, 42: 0.0033, 43: 0.0003, 45: 0.0003, 46: 0.0044, 47: 0.0411, 48: 0.064, 49: 0.0212, 50: 0.0004}","{16: 0.0064, 15: 0.4061, 13: 0.0037, 12: 0.4524, 9: 0.1314}"
8737,36.5538,13.0399,"{25: 0.0002, 26: 0.0001, 27: 0.003, 28: 0.0216, 29: 0.1165, 30: 0.128, 31: 0.0531, 32: 0.0197, 33: 0.0035, 34: 0.0001, 37: 0.0012, 38: 0.0316, 39: 0.1551, 40: 0.2414, 41: 0.1598, 42: 0.0555, 43: 0.0088, 44: 0.0008}","{18: 0.0006, 16: 0.0003, 15: 0.3449, 13: 0.0004, 12: 0.6538}"
6420,38.0135,12.1029,"{23: 0.0001, 24: 0.0001, 25: 0.0016, 26: 0.0202, 27: 0.0461, 28: 0.0557, 29: 0.0884, 30: 0.039, 31: 0.0076, 32: 0.0006, 34: 0.0002, 35: 0.0009, 36: 0.0035, 37: 0.0559, 38: 0.1432, 39: 0.147, 40: 0.105, 41: 0.0612, 42: 0.0249, 43: 0.006, 44: 0.0007, 45: 0.0005, 46: 0.014, 47: 0.0545, 48: 0.0702, 49: 0.0436, 50: 0.0084, 51: 0.0009}","{18: 0.0002, 16: 0.0038, 15: 0.2503, 14: 0.0051, 13: 0.0052, 12: 0.4972, 11: 0.0461, 9: 0.1347, 8: 0.0574}"
5557,39.1466,12.023,"{25: 0.0004, 26: 0.0013, 27: 0.0108, 28: 0.0326, 29: 0.0457, 30: 0.0749, 31: 0.0545, 32: 0.015, 33: 0.0021, 34: 0.0002, 35: 0.0014, 36: 0.0027, 37: 0.0183, 38: 0.081, 39: 0.1552, 40: 0.1417, 41: 0.0939, 42: 0.028, 43: 0.006, 44: 0.0011, 45: 0.0016, 46: 0.0204, 47: 0.0738, 48: 0.0885, 49: 0.0459, 50: 0.003}","{16: 0.0028, 15: 0.2347, 13: 0.0073, 12: 0.522, 9: 0.2332}"
5141,39.6493,11.7748,"{27: 0.0007, 28: 0.0014, 29: 0.0032, 30: 0.0129, 31: 0.0457, 32: 0.0875, 33: 0.1128, 34: 0.0696, 35: 0.0133, 36: 0.0036, 37: 0.002, 38: 0.0022, 39: 0.001, 40: 0.0108, 41: 0.0782, 42: 0.1562, 43: 0.1131, 44: 0.0826, 45: 0.094, 46: 0.0618, 47: 0.0322, 48: 0.0131, 49: 0.0021}","{15: 0.0124, 14: 0.3314, 13: 0.0121, 12: 0.0001, 11: 0.3507, 10: 0.2933}"
6455,39.7091,11.954,"{23: 0.0001, 24: 0.0003, 25: 0.0005, 26: 0.0012, 27: 0.0017, 28: 0.0012, 29: 0.0016, 30: 0.0017, 31: 0.002, 32: 0.0048, 33: 0.0118, 34: 0.0139, 35: 0.1327, 36: 0.2531, 37: 0.1426, 38: 0.0451, 39: 0.01, 40: 0.0018, 41: 0.0007, 42: 0.0009, 43: 0.0073, 44: 0.0333, 45: 0.0901, 46: 0.1182, 47: 0.0795, 48: 0.0326, 49: 0.0103, 50: 0.001}","{18: 0.0001, 17: 0.0026, 16: 0.0061, 15: 0.0004, 14: 0.0376, 13: 0.5795, 11: 0.0075, 10: 0.3662}"
8770,40.3785,12.1087,"{24: 0.0002, 25: 0.0001, 26: 0.0006, 27: 0.0004, 28: 0.0003, 29: 0.0007, 30: 0.0017, 31: 0.0014, 32: 0.0023, 33: 0.0024, 34: 0.0026, 35: 0.0022, 36: 0.0331, 37: 0.0702, 38: 0.0689, 39: 0.0817, 40: 0.1887, 41: 0.28, 42: 0.1752, 43: 0.0478, 44: 0.0067, 45: 0.0023, 46: 0.0003, 47: 0.0069, 48: 0.0135, 49: 0.0068, 50: 0.0024, 51: 0.0006}","{17: 0.0001, 16: 0.0023, 15: 0.0035, 14: 0.0085, 13: 0.223, 12: 0.7003, 11: 0.0318, 9: 0.0023, 8: 0.0282}"
