team,rank,match,redScore,redStdev,redRp,redWinChance,redRpChances,blueScore,blueStdev,blueRp,blueWinChance,blueRpChances
3928,11,71,2.55,6.53,0.0,0.0,"{0: 0.2352, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0}",81.25,149.33,1.03,0.2352,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0004, 4: 0.1417, 5: 0.0931, 6: 0.0}"
3928,9,52,15.43,41.57,0.12,0.0082,"{0: 0.037, 1: 0.0871, 2: 0.0, 3: 0.0005, 4: 0.0077, 5: 0.0, 6: 0.0}",24.86,65.24,0.5,0.1241,"{0: 0.0017, 1: 0.0065, 2: 0.0, 3: 0.0002, 4: 0.1239, 5: 0.0, 6: 0.0}"
3928,9,53,17.43,48.18,0.33,0.0768,"{0: 0.0235, 1: 0.032, 2: 0.0, 3: 0.0051, 4: 0.0715, 5: 0.0002, 6: 0.0}",15.09,43.1,0.24,0.0555,"{0: 0.0495, 1: 0.0273, 2: 0.0, 3: 0.0058, 4: 0.0496, 5: 0.0001, 6: 0.0}"
3928,9,54,3.18,10.73,0.15,0.051,"{0: 0.0813, 1: 0.0, 2: 0.0, 3: 0.0509, 4: 0.0001, 5: 0.0, 6: 0.0}",4.49,16.3,0.25,0.0813,"{0: 0.051, 1: 0.0, 2: 0.0, 3: 0.0782, 4: 0.0031, 5: 0.0, 6: 0.0}"
3928,9,55,5.48,18.31,0.02,0.0043,"{0: 0.1238, 1: 0.0042, 2: 0.0, 3: 0.0034, 4: 0.0009, 5: 0.0, 6: 0.0}",29.73,82.55,0.51,0.128,"{0: 0.004, 1: 0.0003, 2: 0.0, 3: 0.0052, 4: 0.1164, 5: 0.0064, 6: 0.0}"
3928,9,56,25.23,67.87,0.49,0.1212,"{0: 0.0035, 1: 0.0076, 2: 0.0, 3: 0.0028, 4: 0.1175, 5: 0.0009, 6: 0.0}",15.45,44.85,0.12,0.0111,"{0: 0.0487, 1: 0.0725, 2: 0.0, 3: 0.0005, 4: 0.0104, 5: 0.0002, 6: 0.0}"
3928,9,57,2.25,8.5,0.25,0.0844,"{0: 0.0479, 1: 0.0, 2: 0.0, 3: 0.0843, 4: 0.0001, 5: 0.0, 6: 0.0}",1.54,4.82,0.14,0.0479,"{0: 0.0844, 1: 0.0, 2: 0.0, 3: 0.0479, 4: 0.0, 5: 0.0, 6: 0.0}"
3928,9,58,20.6,57.53,0.26,0.0497,"{0: 0.0176, 1: 0.065, 2: 0.0, 3: 0.001, 4: 0.0484, 5: 0.0003, 6: 0.0}",22.43,66.31,0.36,0.0826,"{0: 0.0217, 1: 0.028, 2: 0.0, 3: 0.0023, 4: 0.0768, 5: 0.0035, 6: 0.0}"
3928,9,59,1.95,5.98,0.05,0.0158,"{0: 0.1165, 1: 0.0, 2: 0.0, 3: 0.0158, 4: 0.0, 5: 0.0, 6: 0.0}",5.15,15.12,0.35,0.1165,"{0: 0.0158, 1: 0.0, 2: 0.0, 3: 0.1159, 4: 0.0006, 5: 0.0, 6: 0.0}"
3928,9,60,20.1,57.09,0.11,0.001,"{0: 0.0273, 1: 0.1039, 2: 0.0001, 3: 0.0, 4: 0.001, 5: 0.0, 6: 0.0}",43.72,116.97,0.57,0.1313,"{0: 0.0, 1: 0.001, 2: 0.0, 3: 0.0003, 4: 0.0884, 5: 0.0426, 6: 0.0}"
